計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","何瑁鎧","開南大學","開南大學創意產業與數位電影學士學位學程","空間資訊與計算幾何學在多重選區劃分之分析與研究","2013/08/01~2014/07/31","652000"
"102","何元順","臺北醫學大學","臺北醫學大學醫學檢驗暨生物技術學系","三陰性乳癌周邊微環境之研究平台建立：以玻尿酸合成?Ⅲ抑癌作用為例","2013/08/01~2016/07/31","4320000"
"102","何兆華","輔仁大學","輔仁大學學校財團法人輔仁大學織品服裝學系","清水江流域苗族剪紙花圖像研究","2013/08/01~2014/07/31","572000"
"102","何偉友","明道學校財團法人明道大學","明道學校財團法人明道大學材料科學與工程學系","陰極電弧沉積技術低溫合成金剛石結構鉻鋁氧化物薄膜應用於耐磨、耐溫、耐腐蝕之射出機零件","2013/08/01~2014/07/31","791000"
"102","何前程","國立雲林科技大學","國立雲林科技大學電機工程系暨研究所","平行且連續化的四因素身份認證","2013/08/01~2014/07/31","622000"
"102","何乏筆","國立雲林科技大學","中央研究院中國文哲研究所","歐洲漢學與氣化哲學的跨文化意義","2013/08/01~2014/07/31","618000"
"102","何子儀","逢甲大學","逢甲大學電機工程學系（所）","國造八輪甲車嵌入式電控影像強化設計(II)","2013/01/01~2013/12/31","600000"
"102","何子儀","逢甲大學","逢甲大學電機工程學系（所）","直流變頻洗衣機及監控系統之設計與製作","2013/08/01~2014/07/31","706000"
"102","何奕倫","國立臺灣大學","國立臺灣大學醫學院內科","子計畫一：運用非線性複雜度分析來研究心血管症患者之腦波及心電圖之相關與對話(3/3)","2013/05/01~2014/07/31","1037000"
"102","何南國","國立清華大學","國立清華大學數學系（所）","不可定向流形上Higgs模空間的幾何性質","2013/08/01~2015/07/31","1529000"
"102","何靜嫺","國立政治大學","國立政治大學經濟學系","打預防針或提前引爆？盈餘預測，監理及風險傾向","2013/08/01~2014/07/31","485000"
"102","何瑞鎮","靜宜大學","靜宜大學財務金融學系","存款保險評價之探討","2013/08/01~2014/07/31","606000"
"102","何啟東","淡江大學","淡江大學化學工程與材料工程學系","高效率薄膜蒸餾海水淡化系統之研發(III)","2013/08/01~2014/07/31","1993000"
"102","何孟樵","淡江大學","中央研究院生物化學研究所","蛋白精胺酸甲基轉化?之結構與功能研究","2013/08/01~2016/07/31","6300000"
"102","何孟書","國立中興大學","國立中興大學物理學系（所）","碳簇分子/二氧化鈦奈米粒子嵌入式矽(111)基板的異質接面特性研究","2013/08/01~2016/07/31","3708000"
"102","何正榮","國立中央大學","國立中央大學機械工程學系","晶格波茲曼法應用於非等向輻射散射介質之熱輻射研究","2013/08/01~2014/07/31","562000"
"102","何佩珊","高雄醫學大學","高雄醫學大學口腔衛生學系","探討e化課程融入教學對醫學大學學生學習生物統計學之學習成效、自我效能及學習滿意度之影響","2013/08/01~2014/07/31","574000"
"102","何恭算","高雄醫學大學","國立自然科學博物館地質學組","雲南西部晚新生代騰衝火山岩岩石成因探討：地球化學與同位素制約","2013/08/01~2014/07/31","450000"
"102","何扭今","國立中山大學","國立中山大學材料與光電科學學系","以摩擦攪拌方式製備鎂基含羥磷灰石之金屬基複合材料","2013/08/01~2015/07/31","1824000"
"102","何景華","國立高雄餐旅大學","國立高雄餐旅大學旅遊管理研究所","臺灣地區老人身體活動與老年憂鬱之關係：以（身體活動）社會支持為調節變數","2013/08/01~2014/07/31","343000"
